key,status,code,legal-stuff,budget,creation-moment,init-date,finish-date,link,key:patron,key:inventor
patronage-01,PROPOSED,COD-001-A,Legal,EUR 10.0,2020/01/01 10:00,2020/02/01 11:00,2020/03/01 12:00,https://www.link1.com,patron-01,inventor-01
patronage-02,ACCEPTED,COD-002-A,Legal,USD 10.0,2021/01/01 10:00,2021/02/01 11:00,2021/03/01 12:00,https://www.link2.com,patron-02,inventor-02
patronage-03,ACCEPTED,COD-003-A,Illegal,GBP 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link3.com,patron-03,inventor-02
patronage-04,DENIED,COD-004-A,Legal,USD 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link4.com,patron-03,inventor-01
patronage-05,PROPOSED,COD-005-A,Legal,GBP 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link5.com,patron-04,inventor-03
patronage-06,DENIED,COD-006-A,Legal,GBP 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link6.com,patron-04,inventor-04
patronage-07,PROPOSED,COD-007-A,Illegal,GBP 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link7.com,patron-01,inventor-03
patronage-08,ACCEPTED,COD-008-A,Legal,EUR 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link8.com,patron-02,inventor-01
patronage-09,PROPOSED,COD-009-A,Illegal,EUR 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link9.com,patron-04,inventor-02
patronage-10,ACCEPTED,COD-010-A,Legal,EUR 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link10.com,patron-01,inventor-04
patronage-11,DENIED,COD-011-A,Legal,GBP 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link11.com,patron-02,inventor-03
patronage-12,DENIED,COD-012-A,Legal,USD 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link12.com,patron-01,inventor-01
patronage-13,DENIED,COD-013-A,Legal,USD 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link13.com,patron-02,inventor-02
patronage-14,DENIED,COD-014-A,Legal,USD 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link14.com,patron-03,inventor-03
patronage-15,DENIED,COD-015-A,Legal,USD 10.0,2022/01/01 10:00,2022/02/01 11:00,2022/03/01 12:00,https://www.link15.com,patron-04,inventor-04
